
YEARSList Make: acura, Model:ilx, year 2021 
YEARSList Make: audi, Model:a6, year 2016 

YEARSList Make: audi, Model:a6, year 2015 

YEARSList Make: audi, Model:a6, year 2014 

YEARSList Make: audi, Model:a6, year 2013 

YEARSList Make: audi, Model:a6, year 2012 

YEARSList Make: audi, Model:a6, year 2011 

YEARSList Make: audi, Model:a6, year 2010 

YEARSList Make: audi, Model:a6, year 2009 

YEARSList Make: audi, Model:a6, year 2008 

YEARSList Make: audi, Model:a6, year 2007 

YEARSList Make: audi, Model:a6 allroad, year 2021 

YEARSList Make: audi, Model:a6 allroad, year 2020 

YEARSList Make: audi, Model:a6 wagon, year 2011 

YEARSList Make: audi, Model:a6 wagon, year 2010 

YEARSList Make: audi, Model:a6 wagon, year 2009 

YEARSList Make: audi, Model:a6 wagon, year 2008 

YEARSList Make: audi, Model:a7, year 2021 

YEARSList Make: audi, Model:a7, year 2020 

YEARSList Make: audi, Model:a7, year 2019 

YEARSList Make: audi, Model:a7, year 2018 

YEARSList Make: audi, Model:a7, year 2017 

YEARSList Make: audi, Model:a7, year 2016 

YEARSList Make: audi, Model:a7, year 2015 

YEARSList Make: audi, Model:a7, year 2014 

YEARSList Make: audi, Model:a7, year 2013 

YEARSList Make: audi, Model:a7, year 2012 

YEARSList Make: audi, Model:a8, year 2021 

YEARSList Make: audi, Model:a8, year 2020 

YEARSList Make: audi, Model:a8, year 2019 

YEARSList Make: audi, Model:a8, year 2018 

YEARSList Make: audi, Model:a8, year 2017 

YEARSList Make: audi, Model:a8, year 2016 

YEARSList Make: audi, Model:a8, year 2015 

YEARSList Make: audi, Model:a8, year 2014 

YEARSList Make: audi, Model:a8, year 2013 

YEARSList Make: audi, Model:a8, year 2012 

YEARSList Make: audi, Model:a8, year 2011 

YEARSList Make: audi, Model:a8, year 2010 

YEARSList Make: audi, Model:a8, year 2009 

YEARSList Make: audi, Model:a8, year 2008 

YEARSList Make: audi, Model:allroad, year 2019 

YEARSList Make: audi, Model:allroad, year 2018 

YEARSList Make: audi, Model:allroad, year 2017 

YEARSList Make: audi, Model:allroad, year 2016 

YEARSList Make: audi, Model:allroad, year 2015 

YEARSList Make: audi, Model:allroad, year 2014 

YEARSList Make: audi, Model:allroad, year 2013 

YEARSList Make: audi, Model:e-tron, year 2021 

YEARSList Make: audi, Model:e-tron, year 2020 

YEARSList Make: audi, Model:e-tron, year 2019 

YEARSList Make: audi, Model:e-tron gt, year 2022 

YEARSList Make: audi, Model:q3, year 2021 

YEARSList Make: audi, Model:q3, year 2020 

YEARSList Make: audi, Model:q3, year 2019 

YEARSList Make: audi, Model:q3, year 2018 

YEARSList Make: audi, Model:q3, year 2017 

YEARSList Make: audi, Model:q3, year 2016 

YEARSList Make: audi, Model:q3, year 2015 

YEARSList Make: audi, Model:q5, year 2021 

YEARSList Make: audi, Model:q5, year 2020 

YEARSList Make: audi, Model:q5, year 2019 

YEARSList Make: audi, Model:q5, year 2018 

YEARSList Make: audi, Model:q5, year 2017 

YEARSList Make: audi, Model:q5, year 2016 

YEARSList Make: audi, Model:q5, year 2015 

YEARSList Make: audi, Model:q5, year 2014 

YEARSList Make: audi, Model:q5, year 2013 

YEARSList Make: audi, Model:q5, year 2012 

YEARSList Make: audi, Model:q5, year 2011 

YEARSList Make: audi, Model:q5, year 2010 

YEARSList Make: audi, Model:q5, year 2009 

YEARSList Make: audi, Model:q7, year 2021 

YEARSList Make: audi, Model:q7, year 2020 

YEARSList Make: audi, Model:q7, year 2019 

YEARSList Make: audi, Model:q7, year 2018 

YEARSList Make: audi, Model:q7, year 2017 

YEARSList Make: audi, Model:q7, year 2016 

YEARSList Make: audi, Model:q7, year 2015 

YEARSList Make: audi, Model:q7, year 2014 

YEARSList Make: audi, Model:q7, year 2013 

YEARSList Make: audi, Model:q7, year 2012 

YEARSList Make: audi, Model:q7, year 2011 

YEARSList Make: audi, Model:q7, year 2010 

YEARSList Make: audi, Model:q7, year 2009 

YEARSList Make: audi, Model:q7, year 2008 

YEARSList Make: audi, Model:q7, year 2007 

YEARSList Make: audi, Model:q8, year 2021 

YEARSList Make: audi, Model:q8, year 2020 

YEARSList Make: audi, Model:q8, year 2019 

YEARSList Make: audi, Model:r8, year 2021 

YEARSList Make: audi, Model:r8, year 2020 

YEARSList Make: audi, Model:r8, year 2018 

YEARSList Make: audi, Model:r8, year 2017 

YEARSList Make: audi, Model:r8, year 2015 

YEARSList Make: audi, Model:r8, year 2014 

YEARSList Make: audi, Model:r8, year 2012 

YEARSList Make: audi, Model:r8, year 2010 

YEARSList Make: audi, Model:r8, year 2009 

YEARSList Make: audi, Model:r8, year 2008 

YEARSList Make: audi, Model:tt, year 2021 

YEARSList Make: audi, Model:tt, year 2020 

YEARSList Make: audi, Model:tt, year 2019 

YEARSList Make: audi, Model:tt, year 2018 

YEARSList Make: audi, Model:tt, year 2017 

YEARSList Make: audi, Model:tt, year 2016 

YEARSList Make: audi, Model:tt, year 2015 

YEARSList Make: audi, Model:tt, year 2014 

YEARSList Make: audi, Model:tt, year 2013 

YEARSList Make: audi, Model:tt, year 2012 

YEARSList Make: audi, Model:tt, year 2011 

YEARSList Make: audi, Model:tt, year 2010 

YEARSList Make: audi, Model:tt, year 2009 

YEARSList Make: audi, Model:tt, year 2008 

YEARSList Make: bmw, Model:1-series, year 2013 

YEARSList Make: bmw, Model:1-series, year 2012 

YEARSList Make: bmw, Model:1-series, year 2011 

YEARSList Make: bmw, Model:1-series, year 2010 

YEARSList Make: bmw, Model:1-series, year 2009 

YEARSList Make: bmw, Model:1-series, year 2008 

YEARSList Make: bmw, Model:2-series, year 2021 

YEARSList Make: bmw, Model:2-series, year 2020 

YEARSList Make: bmw, Model:2-series, year 2019 

YEARSList Make: bmw, Model:2-series, year 2018 

YEARSList Make: bmw, Model:2-series, year 2017 

YEARSList Make: bmw, Model:2-series, year 2016 

YEARSList Make: bmw, Model:2-series, year 2015 

YEARSList Make: bmw, Model:2-series, year 2014 

YEARSList Make: bmw, Model:3-series, year 2021 

YEARSList Make: bmw, Model:3-series, year 2020 

YEARSList Make: bmw, Model:3-series, year 2019 

YEARSList Make: bmw, Model:3-series, year 2018 

YEARSList Make: bmw, Model:3-series, year 2017 

YEARSList Make: bmw, Model:3-series, year 2016 

YEARSList Make: bmw, Model:3-series, year 2015 

YEARSList Make: bmw, Model:3-series, year 2014 

YEARSList Make: bmw, Model:3-series, year 2013 

YEARSList Make: bmw, Model:3-series, year 2012 

YEARSList Make: bmw, Model:3-series, year 2011 

YEARSList Make: bmw, Model:3-series, year 2010 

YEARSList Make: bmw, Model:3-series, year 2009 

YEARSList Make: bmw, Model:3-series, year 2008 

YEARSList Make: bmw, Model:3-series, year 2007 

YEARSList Make: bmw, Model:3-series hybrid, year 2014 

YEARSList Make: bmw, Model:3-series hybrid, year 2013 

YEARSList Make: bmw, Model:3-series wagon, year 2012 

YEARSList Make: bmw, Model:3-series wagon, year 2011 

YEARSList Make: bmw, Model:3-series wagon, year 2010 

YEARSList Make: bmw, Model:3-series wagon, year 2009 

YEARSList Make: bmw, Model:3-series wagon, year 2008 

YEARSList Make: bmw, Model:4-series, year 2021 

YEARSList Make: bmw, Model:4-series, year 2020 

YEARSList Make: bmw, Model:4-series, year 2019 

YEARSList Make: bmw, Model:4-series, year 2018 

YEARSList Make: bmw, Model:4-series, year 2017 

YEARSList Make: bmw, Model:4-series, year 2016 

YEARSList Make: bmw, Model:4-series, year 2015 

YEARSList Make: bmw, Model:4-series, year 2014 

YEARSList Make: bmw, Model:5-series, year 2021 

YEARSList Make: bmw, Model:5-series, year 2020 

YEARSList Make: bmw, Model:5-series, year 2019 

YEARSList Make: bmw, Model:5-series, year 2018 

YEARSList Make: bmw, Model:5-series, year 2017 

YEARSList Make: bmw, Model:5-series, year 2016 

YEARSList Make: bmw, Model:5-series, year 2015 

YEARSList Make: bmw, Model:5-series, year 2014 

YEARSList Make: bmw, Model:5-series, year 2013 

YEARSList Make: bmw, Model:5-series, year 2012 

YEARSList Make: bmw, Model:5-series, year 2011 

YEARSList Make: bmw, Model:5-series, year 2010 

YEARSList Make: bmw, Model:5-series, year 2009 

YEARSList Make: bmw, Model:5-series, year 2008 

YEARSList Make: bmw, Model:5-series hybrid, year 2013 

YEARSList Make: bmw, Model:5-series hybrid, year 2012 

YEARSList Make: bmw, Model:5-series wagon, year 2010 

YEARSList Make: bmw, Model:5-series wagon, year 2009 

YEARSList Make: bmw, Model:5-series wagon, year 2008 

YEARSList Make: bmw, Model:6-series, year 2019 

YEARSList Make: bmw, Model:6-series, year 2018 

YEARSList Make: bmw, Model:6-series, year 2017 

YEARSList Make: bmw, Model:6-series, year 2016 

YEARSList Make: bmw, Model:6-series, year 2015 

YEARSList Make: bmw, Model:6-series, year 2014 

YEARSList Make: bmw, Model:6-series, year 2013 

YEARSList Make: bmw, Model:6-series, year 2012 

YEARSList Make: bmw, Model:6-series, year 2011 

YEARSList Make: bmw, Model:6-series, year 2010 

YEARSList Make: bmw, Model:6-series, year 2009 

YEARSList Make: bmw, Model:6-series, year 2008 

YEARSList Make: bmw, Model:7-series, year 2021 

YEARSList Make: bmw, Model:7-series, year 2020 

YEARSList Make: bmw, Model:7-series, year 2019 

YEARSList Make: bmw, Model:7-series, year 2018 

YEARSList Make: bmw, Model:7-series, year 2017 

YEARSList Make: bmw, Model:7-series, year 2016 

YEARSList Make: bmw, Model:7-series, year 2015 

YEARSList Make: bmw, Model:7-series, year 2014 

YEARSList Make: bmw, Model:7-series, year 2013 

YEARSList Make: bmw, Model:7-series, year 2012 

YEARSList Make: bmw, Model:7-series, year 2011 

YEARSList Make: bmw, Model:7-series, year 2010 

YEARSList Make: bmw, Model:7-series, year 2009 

YEARSList Make: bmw, Model:7-series, year 2008 

YEARSList Make: bmw, Model:7-series hybrid, year 2012 

YEARSList Make: bmw, Model:7-series hybrid, year 2011 

YEARSList Make: bmw, Model:8-series, year 2021 

YEARSList Make: bmw, Model:8-series, year 2020 

YEARSList Make: bmw, Model:8-series, year 2019 

YEARSList Make: bmw, Model:i3, year 2021 

YEARSList Make: bmw, Model:i3, year 2020 

YEARSList Make: bmw, Model:i3, year 2019 

YEARSList Make: bmw, Model:i3, year 2018 

YEARSList Make: bmw, Model:i3, year 2017 

YEARSList Make: bmw, Model:i3, year 2016 

YEARSList Make: bmw, Model:i3, year 2015 

YEARSList Make: bmw, Model:i3, year 2014 

YEARSList Make: bmw, Model:x1, year 2021 

YEARSList Make: bmw, Model:x1, year 2020 

YEARSList Make: bmw, Model:x1, year 2019 

YEARSList Make: bmw, Model:x1, year 2018 

YEARSList Make: bmw, Model:x1, year 2017 

YEARSList Make: bmw, Model:x1, year 2016 

YEARSList Make: bmw, Model:x1, year 2015 

YEARSList Make: bmw, Model:x1, year 2014 

YEARSList Make: bmw, Model:x1, year 2013 

YEARSList Make: bmw, Model:x2, year 2021 

YEARSList Make: bmw, Model:x2, year 2020 

YEARSList Make: bmw, Model:x2, year 2019 

YEARSList Make: bmw, Model:x2, year 2018 

YEARSList Make: bmw, Model:x3, year 2021 

YEARSList Make: bmw, Model:x3, year 2020 

YEARSList Make: bmw, Model:x3, year 2019 

YEARSList Make: bmw, Model:x3, year 2018 

YEARSList Make: bmw, Model:x3, year 2017 

YEARSList Make: bmw, Model:x3, year 2016 

YEARSList Make: bmw, Model:x3, year 2015 

YEARSList Make: bmw, Model:x3, year 2014 

YEARSList Make: bmw, Model:x3, year 2013 

YEARSList Make: bmw, Model:x3, year 2012 

YEARSList Make: bmw, Model:x3, year 2011 

YEARSList Make: bmw, Model:x3, year 2010 

YEARSList Make: bmw, Model:x3, year 2009 

YEARSList Make: bmw, Model:x3, year 2008 

YEARSList Make: bmw, Model:x3, year 2007 

YEARSList Make: bmw, Model:x4, year 2021 

YEARSList Make: bmw, Model:x4, year 2020 

YEARSList Make: bmw, Model:x4, year 2019 

YEARSList Make: bmw, Model:x4, year 2018 

YEARSList Make: bmw, Model:x4, year 2017 

YEARSList Make: bmw, Model:x4, year 2016 

YEARSList Make: bmw, Model:x4, year 2015 

YEARSList Make: bmw, Model:x5, year 2021 

YEARSList Make: bmw, Model:x5, year 2020 

YEARSList Make: bmw, Model:x5, year 2019 

YEARSList Make: bmw, Model:x5, year 2018 

YEARSList Make: bmw, Model:x5, year 2017 

YEARSList Make: bmw, Model:x5, year 2016 

YEARSList Make: bmw, Model:x5, year 2015 

YEARSList Make: bmw, Model:x5, year 2014 

YEARSList Make: bmw, Model:x5, year 2013 

YEARSList Make: bmw, Model:x5, year 2012 

YEARSList Make: bmw, Model:x5, year 2011 

YEARSList Make: bmw, Model:x5, year 2010 

YEARSList Make: bmw, Model:x5, year 2009 

YEARSList Make: bmw, Model:x5, year 2008 

YEARSList Make: bmw, Model:x5, year 2007 

YEARSList Make: bmw, Model:x6, year 2021 

YEARSList Make: bmw, Model:x6, year 2020 

YEARSList Make: bmw, Model:x6, year 2019 

YEARSList Make: bmw, Model:x6, year 2018 

YEARSList Make: bmw, Model:x6, year 2017 

YEARSList Make: bmw, Model:x6, year 2016 

YEARSList Make: bmw, Model:x6, year 2015 

YEARSList Make: bmw, Model:x6, year 2014 

YEARSList Make: bmw, Model:x6, year 2013 

YEARSList Make: bmw, Model:x6, year 2012 

YEARSList Make: bmw, Model:x6, year 2011 

YEARSList Make: bmw, Model:x6, year 2010 

YEARSList Make: bmw, Model:x6, year 2009 

YEARSList Make: bmw, Model:x7, year 2021 

YEARSList Make: bmw, Model:x7, year 2020 

YEARSList Make: bmw, Model:x7, year 2019 

YEARSList Make: bmw, Model:z4, year 2021 

YEARSList Make: bmw, Model:z4, year 2020 

YEARSList Make: bmw, Model:z4, year 2019 

YEARSList Make: bmw, Model:z4, year 2016 

YEARSList Make: bmw, Model:z4, year 2015 

YEARSList Make: bmw, Model:z4, year 2014 

YEARSList Make: bmw, Model:z4, year 2013 

YEARSList Make: bmw, Model:z4, year 2012 

YEARSList Make: bmw, Model:z4, year 2011 

YEARSList Make: bmw, Model:z4, year 2010 

YEARSList Make: bmw, Model:z4, year 2009 

YEARSList Make: bmw, Model:z4, year 2008 

YEARSList Make: buick, Model:cascada, year 2019 

YEARSList Make: buick, Model:cascada, year 2018 

YEARSList Make: buick, Model:cascada, year 2017 

YEARSList Make: buick, Model:cascada, year 2016 

YEARSList Make: buick, Model:enclave, year 2021 

YEARSList Make: buick, Model:enclave, year 2020 

YEARSList Make: buick, Model:enclave, year 2019 

YEARSList Make: buick, Model:enclave, year 2018 

YEARSList Make: buick, Model:enclave, year 2017 

YEARSList Make: buick, Model:enclave, year 2016 

YEARSList Make: buick, Model:enclave, year 2015 

YEARSList Make: buick, Model:enclave, year 2014 

YEARSList Make: buick, Model:enclave, year 2013 

YEARSList Make: buick, Model:enclave, year 2012 

YEARSList Make: buick, Model:enclave, year 2011 

YEARSList Make: buick, Model:enclave, year 2010 

YEARSList Make: buick, Model:enclave, year 2009 

YEARSList Make: buick, Model:enclave, year 2008 

YEARSList Make: buick, Model:encore, year 2021 

YEARSList Make: buick, Model:encore, year 2020 

YEARSList Make: buick, Model:encore, year 2019 

YEARSList Make: buick, Model:encore, year 2018 

YEARSList Make: buick, Model:encore, year 2017 

YEARSList Make: buick, Model:encore, year 2016 

YEARSList Make: buick, Model:encore, year 2015 

YEARSList Make: buick, Model:encore, year 2014 

YEARSList Make: buick, Model:encore, year 2013 

YEARSList Make: buick, Model:encore gx, year 2021 

YEARSList Make: buick, Model:encore gx, year 2020 

YEARSList Make: buick, Model:envision, year 2021 

YEARSList Make: buick, Model:envision, year 2020 

YEARSList Make: buick, Model:envision, year 2019 

YEARSList Make: buick, Model:envision, year 2018 

YEARSList Make: buick, Model:envision, year 2017 

YEARSList Make: buick, Model:lacrosse, year 2019 

YEARSList Make: buick, Model:lacrosse, year 2018 

YEARSList Make: buick, Model:lacrosse, year 2017 

YEARSList Make: buick, Model:lacrosse, year 2016 

YEARSList Make: buick, Model:lacrosse, year 2015 

YEARSList Make: buick, Model:lacrosse, year 2014 

YEARSList Make: buick, Model:lacrosse, year 2013 

YEARSList Make: buick, Model:lacrosse, year 2012 

YEARSList Make: buick, Model:lacrosse, year 2011 

YEARSList Make: buick, Model:lacrosse, year 2010 

YEARSList Make: buick, Model:lacrosse, year 2009 

YEARSList Make: buick, Model:lacrosse, year 2008 

YEARSList Make: buick, Model:lacrosse, year 2007 

YEARSList Make: buick, Model:lucerne, year 2011 

YEARSList Make: buick, Model:lucerne, year 2010 

YEARSList Make: buick, Model:lucerne, year 2009 

YEARSList Make: buick, Model:lucerne, year 2008 

YEARSList Make: buick, Model:lucerne, year 2007 

YEARSList Make: buick, Model:rainier, year 2007 

YEARSList Make: buick, Model:regal, year 2020 

YEARSList Make: buick, Model:regal, year 2019 

YEARSList Make: buick, Model:regal, year 2018 

YEARSList Make: buick, Model:regal, year 2017 

YEARSList Make: buick, Model:regal, year 2016 

YEARSList Make: buick, Model:regal, year 2015 

YEARSList Make: buick, Model:regal, year 2014 

YEARSList Make: buick, Model:regal, year 2013 

YEARSList Make: buick, Model:regal, year 2012 

YEARSList Make: buick, Model:regal, year 2011 

YEARSList Make: buick, Model:rendezvous, year 2007 

YEARSList Make: buick, Model:verano, year 2017 

YEARSList Make: buick, Model:verano, year 2016 

YEARSList Make: buick, Model:verano, year 2015 

YEARSList Make: buick, Model:verano, year 2014 

YEARSList Make: buick, Model:verano, year 2013 

YEARSList Make: buick, Model:verano, year 2012 

YEARSList Make: cadillac, Model:ats, year 2019 

YEARSList Make: cadillac, Model:ats, year 2018 

YEARSList Make: cadillac, Model:ats, year 2017 

YEARSList Make: cadillac, Model:ats, year 2016 

YEARSList Make: cadillac, Model:ats, year 2015 

YEARSList Make: cadillac, Model:ats, year 2014 

YEARSList Make: cadillac, Model:ats, year 2013 

YEARSList Make: cadillac, Model:ct4, year 2021 

YEARSList Make: cadillac, Model:ct4, year 2020 

YEARSList Make: cadillac, Model:ct5, year 2021 

YEARSList Make: cadillac, Model:ct5, year 2020 

YEARSList Make: cadillac, Model:ct6, year 2020 

YEARSList Make: cadillac, Model:ct6, year 2019 

YEARSList Make: cadillac, Model:ct6, year 2018 

YEARSList Make: cadillac, Model:ct6, year 2017 

YEARSList Make: cadillac, Model:ct6, year 2016 

YEARSList Make: cadillac, Model:cts, year 2019 

YEARSList Make: cadillac, Model:cts, year 2018 
